Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Score,week,year,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name,stadium_id,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,away_team_name
10,Jason Myers,2.0,2.0,100.0,59,0.0,0.0,1.0,0.0,1.0,4,4,1,12.0,12.0,9.1%,29.8,7,2021,5,K,ACT,0,190,11,Marist,SEA,seattle_seahawks,seattle_seahawks,Lumen Field,Seattle,WA,47.5952,-122.3316,Outdoor,Turf,20,2002,new_orleans_saints
9,Ka'Imi Fairbairn,3.0,3.0,100.0,35,0.0,0.0,3.0,0.0,0.0,2,2,1,11.0,11.0,65.1%,29.8,8,2021,15,K,ACT,0,183,10,UCLA,HOU,houston_texans,houston_texans,NRG Stadium,Houston,TX,29.6847,-95.4107,Indoor,Turf,50,2002,los_angeles_rams
17,Cameron Dicker,1.0,1.0,100.0,37,0.0,0.0,1.0,0.0,0.0,2,2,1,5.0,5.0,91.8%,24.2,14,2021,11,K,ACT,0,216,4,Texas,LAC,los_angeles_chargers,los_angeles_chargers,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100,2020,kansas_city_chiefs
18,Justin Tucker,2.0,3.0,66.7,32,0.0,1.0,1.0,0.0,0.0,2,2,1,8.0,8.0,12.5%,20.64,1,2021,,,,,,,,,,,,,,,,,,,,
31,Andre Szmyt,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0%,0.0,6,2021,38,K,ACT,0,200,1,Syracuse,CLE,cleveland_browns,cleveland_browns,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577,1999,arizona_cardinals
1,Cameron Dicker,4.0,4.0,100.0,41,0.0,1.0,2.0,1.0,0.0,4,4,1,17.0,17.0,91.8%,34.8,17,2021,11,K,ACT,0,216,4,Texas,LAC,los_angeles_chargers,los_angeles_chargers,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100,2020,las_vegas_raiders
27,Cameron Dicker,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,4,1,3.0,3.0,91.8%,2.3,9,2021,11,K,ACT,0,216,4,Texas,LAC,los_angeles_chargers,los_angeles_chargers,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100,2020,
21,Chase Mclaughlin,1.0,1.0,100.0,45,0.0,0.0,0.0,1.0,0.0,3,3,1,7.0,7.0,70.7%,25.6,16,2021,4,K,ACT,0,190,7,Illinois,TB,tampa_bay_buccaneers,tampa_bay_buccaneers,Raymond James Stadium,Tampa,FL,27.9759,-82.5033,Outdoor,Grass,26,1998,
3,Blake Grupe,4.0,4.0,100.0,57,0.0,0.0,1.0,1.0,2.0,5,5,1,22.0,22.0,3.2%,38.2,1,2021,19,K,ACT,0,156,3,Notre Dame,NO,new_orleans_saints,new_orleans_saints,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3,1975,
16,Matt Gay,2.0,2.0,100.0,49,0.0,0.0,1.0,1.0,0.0,1,1,1,8.0,8.0,16.3%,27.0,15,2021,16,K,ACT,0,232,7,Utah,WAS,washington_commanders,washington_commanders,FedExField,Landover,MD,38.9078,-76.8645,Outdoor,Grass,300,1997,dallas_cowboys
4,Joey Slye,4.0,4.0,100.0,37,0.0,1.0,3.0,0.0,0.0,1,1,1,13.0,13.0,2.2%,32.0,10,2021,6,K,ACT,0,213,7,Virginia Tech,TEN,tennessee_titans,tennessee_titans,Nissan Stadium,Nashville,TN,36.1665,-86.7713,Outdoor,Grass,476,1999,houston_texans
11,Brandon Aubrey,2.0,3.0,66.7,60,0.0,0.0,0.0,1.0,1.0,2,2,1,11.0,11.0,96.5%,22.64,4,2021,17,K,ACT,0,218,3,Notre Dame,DAL,dallas_cowboys,dallas_cowboys,AT&T Stadium,Arlington,TX,32.7473,-97.0945,Indoor,Turf,639,2009,
14,Cam Little,2.0,2.0,100.0,47,0.0,0.0,1.0,1.0,0.0,3,3,1,10.0,10.0,4.6%,28.4,8,2021,39,K,ACT,0,172,2,Arkansas,JAX,jacksonville_jaguars,jacksonville_jaguars,TIAA Bank Field,Jacksonville,FL,30.3239,-81.6373,Outdoor,Grass,16,1995,seattle_seahawks
7,Matt Gay,2.0,3.0,66.7,54,0.0,0.0,0.0,1.0,1.0,1,1,1,10.0,10.0,16.3%,21.94,9,2021,16,K,ACT,0,232,7,Utah,WAS,washington_commanders,washington_commanders,FedExField,Landover,MD,38.9078,-76.8645,Outdoor,Grass,300,1997,
12,Cairo Santos,2.0,2.0,100.0,54,0.0,0.0,0.0,0.0,2.0,1,1,1,11.0,11.0,15.5%,29.1,2,2021,8,K,ACT,0,175,12,Tulane,CHI,chicago_bears,chicago_bears,Soldier Field,Chicago,IL,41.8623,-87.6167,Outdoor,Grass,595,1924,
22,Dustin Hopkins,1.0,1.0,100.0,56,0.0,0.0,0.0,0.0,1.0,1,2,1,6.0,6.0,2.3%,24.9,4,2021,7,K,ACT,0,210,12,Florida State,CLE,cleveland_browns,cleveland_browns,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577,1999,
6,Cam Little,3.0,3.0,100.0,49,0.0,1.0,1.0,1.0,0.0,4,4,1,14.0,14.0,4.6%,32.0,5,2021,39,K,ACT,0,172,2,Arkansas,JAX,jacksonville_jaguars,jacksonville_jaguars,TIAA Bank Field,Jacksonville,FL,30.3239,-81.6373,Outdoor,Grass,16,1995,tennessee_titans
26,Wil Lutz,2.0,2.0,100.0,35,0.0,1.0,1.0,0.0,0.0,0,0,1,6.0,6.0,34.5%,25.7,2,2021,3,K,ACT,0,184,10,Georgia State,DEN,denver_broncos,denver_broncos,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280,2001,
9,Riley Patterson,2.0,3.0,66.7,52,0.0,0.0,1.0,0.0,1.0,4,4,1,12.0,12.0,1.0%,23.34,16,2021,10,K,ACT,71,195,4,Memphis,CLE,cleveland_browns,cleveland_browns,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577,1999,pittsburgh_steelers
14,Tyler Bass,1.0,1.0,100.0,39,0.0,0.0,1.0,0.0,0.0,5,5,1,8.0,8.0,60.9%,26.3,17,2021,2,K,ACT,0,183,6,Georgia Southern,BUF,buffalo_bills,buffalo_bills,Highmark Stadium,Orchard Park,NY,42.7738,-78.7868,Outdoor,Grass,600,1973,
32,Ka'Imi Fairbairn,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,65.1%,0.9,3,2021,15,K,ACT,0,183,10,UCLA,HOU,houston_texans,houston_texans,NRG Stadium,Houston,TX,29.6847,-95.4107,Indoor,Turf,50,2002,carolina_panthers
24,Cairo Santos,1.0,1.0,100.0,30,0.0,0.0,1.0,0.0,0.0,2,2,1,5.0,5.0,15.5%,24.2,16,2021,8,K,ACT,0,175,12,Tulane,CHI,chicago_bears,chicago_bears,Soldier Field,Chicago,IL,41.8623,-87.6167,Outdoor,Grass,595,1924,
1,Chris Boswell,6.0,6.0,100.0,57,0.0,1.0,2.0,0.0,3.0,0,0,1,24.0,24.0,72.7%,41.1,11,2021,9,K,ACT,0,185,11,Rice,PIT,pittsburgh_steelers,pittsburgh_steelers,Acrisure Stadium,Pittsburgh,PA,40.4468,-80.0158,Outdoor,Grass,730,2001,los_angeles_chargers
21,Dustin Hopkins,1.0,2.0,50.0,45,0.0,0.0,0.0,1.0,0.0,3,3,1,7.0,7.0,2.3%,15.8,13,2021,7,K,ACT,0,210,12,Florida State,CLE,cleveland_browns,cleveland_browns,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577,1999,
16,Riley Patterson,1.0,2.0,50.0,39,0.0,0.0,1.0,0.0,0.0,3,3,1,6.0,6.0,1.0%,15.1,17,2021,10,K,ACT,71,195,4,Memphis,CLE,cleveland_browns,cleveland_browns,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577,1999,
