Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Score,week,year,Number,Position,Status,Height,Weight,Experience,College,Team,home_team_name,stadium_id,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,away_team_name
1,Wil Lutz,4.0,4.0,100.0,43,0.0,0.0,2.0,2.0,0.0,2,2,1,16.0,16.0,34.5%,34.0,3,2023,3,K,ACT,0,184,10,Georgia State,DEN,denver_broncos,denver_broncos,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280,2001,miami_dolphins
15,Jason Myers,2.0,2.0,100.0,50,0.0,1.0,0.0,0.0,1.0,2,2,1,10.0,10.0,9.1%,28.5,1,2023,5,K,ACT,0,190,11,Marist,SEA,seattle_seahawks,seattle_seahawks,Lumen Field,Seattle,WA,47.5952,-122.3316,Outdoor,Turf,20,2002,los_angeles_rams
24,Cairo Santos,2.0,2.0,100.0,39,0.0,1.0,1.0,0.0,0.0,0,0,1,6.0,6.0,15.5%,25.7,15,2023,8,K,ACT,0,175,12,Tulane,CHI,chicago_bears,chicago_bears,Soldier Field,Chicago,IL,41.8623,-87.6167,Outdoor,Grass,595,1924,
7,Parker Romo,3.0,3.0,100.0,40,0.0,2.0,0.0,1.0,0.0,3,3,1,13.0,13.0,1.2%,31.4,12,2023,11,K,ACT,72,180,1,Virginia Tech,CHI,chicago_bears,chicago_bears,Soldier Field,Chicago,IL,41.8623,-87.6167,Outdoor,Grass,595,1924,
18,Cairo Santos,1.0,1.0,100.0,40,0.0,0.0,0.0,1.0,0.0,3,3,1,7.0,7.0,15.5%,25.6,4,2023,8,K,ACT,0,175,12,Tulane,CHI,chicago_bears,chicago_bears,Soldier Field,Chicago,IL,41.8623,-87.6167,Outdoor,Grass,595,1924,denver_broncos
6,Justin Tucker,2.0,2.0,100.0,37,0.0,0.0,2.0,0.0,0.0,5,5,1,11.0,11.0,12.5%,29.1,9,2023,,,,,,,,,,,,,,,,,,,,
16,Chris Boswell,2.0,3.0,66.7,48,0.0,1.0,0.0,1.0,0.0,1,1,1,8.0,8.0,72.7%,20.64,12,2023,9,K,ACT,0,185,11,Rice,PIT,pittsburgh_steelers,pittsburgh_steelers,Acrisure Stadium,Pittsburgh,PA,40.4468,-80.0158,Outdoor,Grass,730,2001,arizona_cardinals
11,Ka'Imi Fairbairn,2.0,3.0,66.7,54,0.0,1.0,0.0,0.0,1.0,3,3,1,11.0,11.0,65.1%,22.74,12,2023,15,K,ACT,0,183,10,UCLA,HOU,houston_texans,houston_texans,NRG Stadium,Houston,TX,29.6847,-95.4107,Indoor,Turf,50,2002,
23,Dustin Hopkins,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,1,2.0,2.0,2.3%,1.8,14,2023,7,K,ACT,0,210,12,Florida State,CLE,cleveland_browns,cleveland_browns,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577,1999,
20,Eddy Pineiro,1.0,1.0,100.0,48,0.0,0.0,0.0,1.0,0.0,3,3,1,7.0,7.0,1.1%,25.6,4,2023,4,K,ACT,72,185,6,Florida,CAR,carolina_panthers,carolina_panthers,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748,1996,minnesota_vikings
9,Jake Bates,3.0,4.0,75.0,48,0.0,0.0,2.0,1.0,0.0,2,2,1,12.0,12.0,92.5%,25.7,13,2023,39,K,ACT,0,202,2,Arkansas,DET,detroit_lions,detroit_lions,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600,2002,chicago_bears
15,Blake Grupe,2.0,2.0,100.0,38,0.0,1.0,1.0,0.0,0.0,2,2,1,8.0,8.0,3.2%,27.1,10,2023,19,K,ACT,0,156,3,Notre Dame,NO,new_orleans_saints,new_orleans_saints,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3,1975,
1,Jake Bates,4.0,4.0,100.0,48,0.0,0.0,2.0,2.0,0.0,5,5,1,19.0,19.0,92.5%,36.1,6,2023,39,K,ACT,0,202,2,Arkansas,DET,detroit_lions,detroit_lions,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600,2002,
29,Joey Slye,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,2.2%,0.7,17,2023,6,K,ACT,0,213,7,Virginia Tech,TEN,tennessee_titans,tennessee_titans,Nissan Stadium,Nashville,TN,36.1665,-86.7713,Outdoor,Grass,476,1999,
8,Joey Slye,3.0,3.0,100.0,42,0.0,1.0,1.0,1.0,0.0,1,2,1,11.0,11.0,2.2%,29.9,11,2023,6,K,ACT,0,213,7,Virginia Tech,TEN,tennessee_titans,tennessee_titans,Nissan Stadium,Nashville,TN,36.1665,-86.7713,Outdoor,Grass,476,1999,
17,Chase Mclaughlin,2.0,2.0,100.0,55,0.0,0.0,1.0,0.0,1.0,2,2,1,10.0,10.0,70.7%,28.4,2,2023,4,K,ACT,0,190,7,Illinois,TB,tampa_bay_buccaneers,tampa_bay_buccaneers,Raymond James Stadium,Tampa,FL,27.9759,-82.5033,Outdoor,Grass,26,1998,
15,Blake Grupe,2.0,2.0,100.0,38,0.0,0.0,2.0,0.0,0.0,0,0,1,6.0,6.0,3.2%,25.6,3,2023,19,K,ACT,0,156,3,Notre Dame,NO,new_orleans_saints,new_orleans_saints,Caesars Superdome,New Orleans,LA,29.9509,-90.0815,Indoor,Turf,3,1975,green_bay_packers
17,Chase Mclaughlin,1.0,1.0,100.0,47,0.0,0.0,0.0,1.0,0.0,3,3,1,7.0,7.0,70.7%,25.6,9,2023,4,K,ACT,0,190,7,Illinois,TB,tampa_bay_buccaneers,tampa_bay_buccaneers,Raymond James Stadium,Tampa,FL,27.9759,-82.5033,Outdoor,Grass,26,1998,
3,Jake Elliott,4.0,5.0,80.0,50,0.0,1.0,0.0,2.0,1.0,3,3,1,19.0,19.0,60.8%,32.4,16,2023,4,K,ACT,0,167,9,Memphis,PHI,philadelphia_eagles,philadelphia_eagles,Lincoln Financial Field,Philadelphia,PA,39.9008,-75.1675,Outdoor,Grass,30,2003,arizona_cardinals
23,Cameron Dicker,1.0,2.0,50.0,50,0.0,0.0,0.0,0.0,1.0,1,1,1,6.0,6.0,91.8%,15.1,4,2023,11,K,ACT,0,216,4,Texas,LAC,los_angeles_chargers,los_angeles_chargers,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100,2020,
9,Riley Patterson,2.0,3.0,66.7,52,0.0,0.0,1.0,0.0,1.0,4,4,1,12.0,12.0,1.0%,23.34,16,2023,10,K,ACT,71,195,4,Memphis,CLE,cleveland_browns,cleveland_browns,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577,1999,
3,Jason Sanders,4.0,4.0,100.0,57,0.0,1.0,1.0,0.0,2.0,0,1,1,16.0,16.0,45.6%,34.1,14,2023,7,K,ACT,0,195,8,New Mexico,MIA,miami_dolphins,miami_dolphins,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7,1987,
26,Younghoe Koo,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,3,1,3.0,3.0,21.9%,2.1,9,2023,6,K,ACT,0,195,8,Georgia Southern,ATL,atlanta_falcons,atlanta_falcons,Mercedes-Benz Stadium,Atlanta,GA,33.755,-84.4008,Indoor,Turf,1050,2017,
3,Jason Myers,2.0,2.0,100.0,57,0.0,0.0,0.0,0.0,2.0,2,2,1,12.0,12.0,9.1%,29.8,11,2023,5,K,ACT,0,190,11,Marist,SEA,seattle_seahawks,seattle_seahawks,Lumen Field,Seattle,WA,47.5952,-122.3316,Outdoor,Turf,20,2002,san_francisco_49ers
12,Tyler Bass,2.0,2.0,100.0,39,0.0,0.0,2.0,0.0,0.0,4,4,1,10.0,10.0,60.9%,28.4,1,2023,2,K,ACT,0,183,6,Georgia Southern,BUF,buffalo_bills,buffalo_bills,Highmark Stadium,Orchard Park,NY,42.7738,-78.7868,Outdoor,Grass,600,1973,new_york_jets
32,Matthew Wright,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2.1%,0.0,9,2023,37,K,ACT,0,174,4,UCF,CAR,carolina_panthers,carolina_panthers,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748,1996,indianapolis_colts
2,Wil Lutz,4.0,4.0,100.0,52,0.0,0.0,2.0,1.0,1.0,3,3,1,18.0,18.0,34.5%,35.4,7,2023,3,K,ACT,0,184,10,Georgia State,DEN,denver_broncos,denver_broncos,Empower Field at Mile High,Denver,CO,39.7439,-105.0201,Outdoor,Turf,5280,2001,
3,Chris Boswell,4.0,4.0,100.0,31,0.0,3.0,1.0,0.0,0.0,2,2,1,14.0,14.0,72.7%,32.9,8,2023,9,K,ACT,0,185,11,Rice,PIT,pittsburgh_steelers,pittsburgh_steelers,Acrisure Stadium,Pittsburgh,PA,40.4468,-80.0158,Outdoor,Grass,730,2001,jacksonville_jaguars
16,Riley Patterson,1.0,2.0,50.0,39,0.0,0.0,1.0,0.0,0.0,3,3,1,6.0,6.0,1.0%,15.1,17,2023,10,K,ACT,71,195,4,Memphis,CLE,cleveland_browns,cleveland_browns,FirstEnergy Stadium,Cleveland,OH,41.5061,-81.6995,Outdoor,Grass,577,1999,cincinnati_bengals
29,Greg Joseph,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.7%,0.0,11,2023,40,K,ACT,0,206,5,Florida Atlantic,SF,san_francisco_49ers,san_francisco_49ers,Levi's Stadium,Santa Clara,CA,37.403,-121.9692,Outdoor,Grass,13,2014,
24,Tyler Bass,1.0,2.0,50.0,22,0.0,1.0,0.0,0.0,0.0,2,3,1,5.0,5.0,60.9%,14.5,6,2023,2,K,ACT,0,183,6,Georgia Southern,BUF,buffalo_bills,buffalo_bills,Highmark Stadium,Orchard Park,NY,42.7738,-78.7868,Outdoor,Grass,600,1973,
15,Matt Gay,2.0,3.0,66.7,35,0.0,0.0,2.0,0.0,0.0,3,3,1,9.0,9.0,16.3%,21.24,4,2023,16,K,ACT,0,232,7,Utah,WAS,washington_commanders,washington_commanders,FedExField,Landover,MD,38.9078,-76.8645,Outdoor,Grass,300,1997,philadelphia_eagles
11,Jason Sanders,2.0,3.0,66.7,52,0.0,0.0,1.0,0.0,1.0,2,2,1,10.0,10.0,45.6%,21.94,1,2023,7,K,ACT,0,195,8,New Mexico,MIA,miami_dolphins,miami_dolphins,Hard Rock Stadium,Miami Gardens,FL,25.958,-80.238,Outdoor,Grass,7,1987,
27,Greg Joseph,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,0.7%,1.1,6,2023,40,K,ACT,0,206,5,Florida Atlantic,SF,san_francisco_49ers,san_francisco_49ers,Levi's Stadium,Santa Clara,CA,37.403,-121.9692,Outdoor,Grass,13,2014,cleveland_browns
12,Jake Bates,2.0,3.0,66.7,34,0.0,0.0,2.0,0.0,0.0,4,4,1,10.0,10.0,92.5%,21.94,16,2023,39,K,ACT,0,202,2,Arkansas,DET,detroit_lions,detroit_lions,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600,2002,dallas_cowboys
17,Cameron Dicker,1.0,1.0,100.0,37,0.0,0.0,1.0,0.0,0.0,2,2,1,5.0,5.0,91.8%,24.2,14,2023,11,K,ACT,0,216,4,Texas,LAC,los_angeles_chargers,los_angeles_chargers,SoFi Stadium,Inglewood,CA,33.9535,-118.3392,Outdoor,Turf,100,2020,las_vegas_raiders
20,Anders Carlson,1.0,2.0,50.0,43,0.0,0.0,0.0,1.0,0.0,3,3,1,7.0,7.0,1.0%,15.8,15,2023,17,K,ACT,77,215,2,Auburn,GB,green_bay_packers,green_bay_packers,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640,1957,
10,Brandon Aubrey,2.0,2.0,100.0,57,0.0,0.0,1.0,0.0,1.0,1,1,1,9.0,9.0,96.5%,27.7,9,2023,17,K,ACT,0,218,3,Notre Dame,DAL,dallas_cowboys,dallas_cowboys,AT&T Stadium,Arlington,TX,32.7473,-97.0945,Indoor,Turf,639,2009,philadelphia_eagles
13,Harrison Butker,2.0,2.0,100.0,42,0.0,1.0,0.0,1.0,0.0,3,3,1,10.0,10.0,69.5%,28.5,8,2023,7,K,ACT,0,205,9,Georgia Tech,KC,kansas_city_chiefs,kansas_city_chiefs,GEHA Field at Arrowhead Stadium,Kansas City,MO,39.049,-94.4839,Outdoor,Grass,1020,1972,denver_broncos
12,Daniel Carlson,2.0,2.0,100.0,54,0.0,0.0,1.0,0.0,1.0,2,2,1,10.0,10.0,15.3%,28.4,8,2023,8,K,ACT,0,215,8,Auburn,LV,las_vegas_raiders,las_vegas_raiders,Allegiant Stadium,Las Vegas,NV,36.0908,-115.183,Indoor,Turf,2001,2020,detroit_lions
15,Cam Little,1.0,1.0,100.0,21,0.0,1.0,0.0,0.0,0.0,3,3,1,6.0,6.0,4.6%,25.0,7,2023,39,K,ACT,0,172,2,Arkansas,JAX,jacksonville_jaguars,jacksonville_jaguars,TIAA Bank Field,Jacksonville,FL,30.3239,-81.6373,Outdoor,Grass,16,1995,
5,Evan Mcpherson,4.0,4.0,100.0,53,0.0,1.0,1.0,1.0,1.0,1,2,1,16.0,16.0,44.5%,34.1,2,2023,2,K,ACT,0,185,5,Florida,CIN,cincinnati_bengals,cincinnati_bengals,Paycor Stadium,Cincinnati,OH,39.0954,-84.516,Outdoor,Turf,482,2000,baltimore_ravens
15,Jake Bates,1.0,1.0,100.0,56,0.0,0.0,0.0,0.0,1.0,3,3,1,8.0,8.0,92.5%,26.3,12,2023,39,K,ACT,0,202,2,Arkansas,DET,detroit_lions,detroit_lions,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600,2002,
