Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
211,Foster Moreau,32.0,43,413.0,12.9,41.0,7.0,5.0,0,0,0,0,17,103.3,6.1,1.4%,157.115
210,Brenton Strange,40.0,53,411.0,10.3,30.0,7.0,2.0,0,0,0,1,17,91.1,5.4,33.7%,152.485
209,Jordan Akins,40.0,58,390.0,9.8,21.0,3.0,2.0,0,0,0,0,17,91.0,5.4,1.0%,145.82999999999998
208,Evan Engram,47.0,64,365.0,7.8,24.0,2.0,1.0,0,0,0,1,9,89.5,9.9,87.0%,142.78
207,Ja'Tavion Sanders,33.0,43,342.0,10.4,46.0,6.0,1.0,0,0,0,0,16,73.2,4.6,20.2%,128.10999999999999
206,Theo Johnson,29.0,43,331.0,11.4,35.0,4.0,1.0,0,0,0,0,12,68.1,5.7,18.1%,121.72
205,Dawson Knox,22.0,33,311.0,14.1,39.0,7.0,1.0,0,0,0,0,16,59.1,3.7,5.7%,111.87500000000001
204,Colby Parkinson,30.0,49,294.0,9.8,23.0,2.0,1.0,0,0,0,0,17,65.4,3.8,3.3%,109.61
203,Grant Calcaterra,24.0,30,298.0,12.4,34.0,6.0,1.0,0,0,0,0,17,59.8,3.5,2.2%,108.60000000000001
202,AJ Barner,30.0,38,245.0,8.2,20.0,1.0,4.0,0,0,0,0,17,78.5,4.6,7.3%,102.47
201,Josh Oliver,22.0,28,258.0,11.7,28.0,5.0,3.0,0,0,0,0,15,65.8,4.4,1.0%,100.255
200,Josh Whyle,28.0,37,248.0,8.9,33.0,3.0,1.0,0,0,0,0,17,60.8,3.6,0.6%,96.91499999999998
199,Taysom Hill,23.0,31,187.0,8.1,34.0,2.0,0.0,39,278,6,1,8,103.3,12.9,20.6%,95.765
198,Luke Schoonmaker,27.0,36,241.0,8.9,24.0,3.0,1.0,0,0,0,0,17,57.1,3.4,4.6%,92.725
197,Tommy Tremble,23.0,32,234.0,10.2,38.0,2.0,2.0,0,0,0,1,12,56.4,4.7,1.1%,91.88
196,Darnell Washington,19.0,25,200.0,10.5,29.0,3.0,1.0,0,0,0,0,17,45.0,2.6,3.0%,76.465
195,Stone Smartt,16.0,19,208.0,13.0,31.0,4.0,0.0,0,0,0,1,15,34.8,2.3,2.3%,74.41000000000001
194,Adam Trautman,13.0,22,188.0,14.5,37.0,2.0,2.0,0,0,0,0,17,43.8,2.6,0.7%,72.80499999999999
193,Elijah Higgins,20.0,24,172.0,8.6,23.0,1.0,2.0,0,0,0,0,17,49.2,2.9,1.1%,70.61
192,Kylen Granson,14.0,31,182.0,13.0,40.0,3.0,0.0,0,0,0,0,17,32.2,1.9,1.0%,67.07
191,Erick All Jr.,20.0,22,158.0,7.9,28.0,1.0,0.0,0,0,0,0,9,35.8,4.0,1.3%,62.925
