Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
120,Zach Ertz,47.0,69,406.0,8.6,32.0,2.0,4.0,0,0,0,0,10,115.6,11.6,47.7%,163.96
119,Austin Hooper,41.0,60,444.0,10.8,24.0,2.0,2.0,0,0,0,0,17,97.4,5.7,3.5%,162.07
118,Foster Moreau,33.0,54,420.0,12.7,33.0,7.0,2.0,0,2,0,1,14,85.2,6.1,1.4%,151.45499999999998
117,Greg Dulcich,33.0,55,411.0,12.5,39.0,6.0,2.0,0,0,0,0,10,86.1,8.6,2.3%,150.945
116,Cade Otton,42.0,65,391.0,9.3,35.0,4.0,2.0,0,0,0,0,16,93.1,5.8,37.5%,148.995
115,Darren Waller,28.0,43,388.0,13.9,34.0,9.0,3.0,0,0,0,0,9,84.8,9.4,1.1%,143.885
114,Isaiah Likely,36.0,60,373.0,10.4,34.0,4.0,3.0,0,0,0,0,14,91.3,6.5,51.6%,142.7
113,Mike Gesicki,32.0,52,362.0,11.3,32.0,5.0,5.0,0,0,0,0,17,98.2,5.8,34.3%,141.375
112,Will Dissly,34.0,38,349.0,10.3,38.0,1.0,3.0,0,0,0,0,15,86.9,5.8,8.0%,134.48499999999999
111,Kyle Pitts,28.0,59,356.0,12.7,33.0,5.0,2.0,0,0,0,0,10,75.6,7.6,53.5%,131.225
110,Logan Thomas,39.0,61,323.0,8.3,27.0,2.0,1.0,0,0,0,0,13,77.3,5.9,0.0%,124.59500000000001
109,Colby Parkinson,25.0,34,322.0,12.9,39.0,5.0,2.0,0,0,0,0,14,69.2,4.9,3.3%,119.305
108,Jelani Woods,25.0,40,312.0,12.5,36.0,4.0,3.0,0,0,0,0,12,74.2,6.2,2.0%,118.86500000000001
107,Noah Gray,28.0,34,299.0,10.7,27.0,3.0,1.0,1,1,1,0,17,70.0,4.1,16.9%,112.295
106,Kylen Granson,31.0,40,302.0,9.7,32.0,3.0,0.0,1,0,0,0,13,61.2,4.7,1.0%,111.54499999999999
105,Daniel Bellinger,30.0,35,268.0,8.9,24.0,2.0,2.0,1,2,1,1,11,75.0,6.8,2.7%,107.655
104,Trey McBride,29.0,39,265.0,9.1,29.0,3.0,1.0,0,0,0,0,12,61.5,5.1,98.3%,101.95500000000001
103,Harrison Bryant,31.0,42,239.0,7.7,30.0,1.0,1.0,1,8,0,0,14,61.7,4.4,0.1%,95.625
102,Jonnu Smith,27.0,38,245.0,9.1,53.0,3.0,0.0,1,5,0,0,12,52.0,4.3,90.4%,94.98499999999999
101,C.J. Uzomah,21.0,27,232.0,11.0,40.0,4.0,2.0,0,0,0,0,14,56.2,4.0,0.0%,90.86
100,Brock Wright,18.0,24,216.0,12.0,51.0,3.0,4.0,0,0,0,0,14,63.6,4.5,0.7%,90.37999999999998
99,Mo Alie-Cox,19.0,28,189.0,9.9,34.0,1.0,3.0,0,0,0,1,14,53.9,3.9,0.6%,78.115
98,Adam Trautman,18.0,22,207.0,11.5,22.0,2.0,1.0,0,0,0,0,13,44.7,3.4,0.7%,77.44500000000001
97,Irv Smith Jr.,25.0,36,182.0,7.3,17.0,0.0,2.0,0,0,0,0,8,55.2,6.9,0.0%,77.365
96,Ian Thomas,21.0,30,197.0,9.4,50.0,1.0,0.0,0,0,0,0,14,40.7,2.9,0.1%,76.47999999999999
95,Taysom Hill,9.0,13,77.0,8.6,30.0,1.0,2.0,96,575,7,0,16,145.8,9.1,20.6%,75.17
94,Tommy Tremble,19.0,32,174.0,9.2,29.0,1.0,3.0,0,0,0,1,15,52.4,3.5,1.1%,73.15
93,Jake Ferguson,19.0,22,174.0,9.2,30.0,3.0,2.0,0,0,0,0,11,48.4,4.4,71.7%,72.11
92,MyCole Pruitt,16.0,21,150.0,9.4,29.0,2.0,4.0,0,0,0,0,10,55.0,5.5,1.0%,68.31
