Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
137,Dan Arnold,31.0,45,438.0,14.1,59.0,8.0,4.0,0,0,0,1,16,96.8,6.1,0.0%,162.64499999999998
136,Gerald Everett,41.0,62,417.0,10.2,40.0,3.0,1.0,1,2,1,1,16,92.9,5.8,0.8%,155.11999999999998
135,Jordan Akins,37.0,49,403.0,10.9,26.0,7.0,1.0,1,4,0,0,13,83.7,6.4,1.0%,146.805
134,Anthony Firkser,39.0,53,387.0,9.9,45.0,4.0,1.0,0,0,0,0,16,83.7,5.2,0.0%,144.47500000000002
133,Mo Alie-Cox,31.0,39,394.0,12.7,45.0,6.0,2.0,0,0,0,1,15,80.4,5.4,0.6%,143.635
132,Irv Smith Jr.,30.0,43,365.0,12.2,36.0,6.0,5.0,0,0,0,0,13,98.5,7.6,0.0%,142.87
131,Tyler Eifert,36.0,60,349.0,9.7,28.0,1.0,2.0,0,0,0,0,15,82.9,5.5,0.0%,132.27499999999998
130,Drew Sample,40.0,53,349.0,8.7,23.0,1.0,1.0,0,0,0,1,16,78.9,4.9,0.6%,131.08499999999998
129,Zach Ertz,36.0,72,335.0,9.3,42.0,4.0,1.0,0,0,0,0,11,77.5,7.0,47.7%,128.89499999999998
128,Richard Rodgers,24.0,31,345.0,14.4,33.0,5.0,2.0,0,0,0,0,14,70.5,5.0,0.0%,124.75999999999999
127,Kyle Rudolph,28.0,37,334.0,11.9,25.0,5.0,1.0,0,0,0,1,12,65.4,5.5,1.0%,120.405
126,Darren Fells,21.0,28,312.0,14.9,44.0,3.0,4.0,0,0,0,0,16,76.2,4.8,0.0%,119.065
125,Chris Herndon IV,31.0,46,287.0,9.3,26.0,3.0,3.0,0,0,0,2,16,73.7,4.6,0.0%,112.34499999999998
124,Dawson Knox,24.0,44,288.0,12.0,36.0,3.0,3.0,0,0,0,2,12,66.8,5.6,5.7%,109.88
123,Cameron Brate,28.0,34,282.0,10.1,25.0,2.0,2.0,0,0,0,0,16,68.2,4.3,2.0%,107.695
122,Trey Burton,28.0,47,250.0,8.9,20.0,1.0,3.0,2,3,2,0,13,83.3,6.4,0.0%,104.78499999999998
121,Jack Doyle,23.0,33,251.0,10.9,28.0,2.0,3.0,0,0,0,1,14,64.1,4.6,2.0%,98.005
120,Jordan Reed,26.0,46,231.0,8.9,26.0,1.0,4.0,0,0,0,0,10,73.1,7.3,19.0%,97.73499999999997
119,James O'Shaughnessy,28.0,38,262.0,9.4,26.0,3.0,0.0,0,0,0,0,15,54.2,3.6,0.0%,97.30999999999999
118,Cole Kmet,28.0,44,243.0,8.7,38.0,1.0,2.0,1,-3,0,1,16,62.0,3.9,26.5%,96.91499999999999
117,Will Dissly,24.0,29,251.0,10.5,28.0,3.0,2.0,0,0,0,0,16,61.1,3.8,8.0%,96.675
116,Harrison Bryant,24.0,38,238.0,9.9,35.0,1.0,3.0,0,0,0,2,15,61.8,4.1,0.1%,94.66499999999999
115,N'Keal Harry,33.0,57,309.0,9.4,30.0,2.0,2.0,2,0,0,1,14,0.0,0.0,0.0%,94.41
114,Greg Olsen,24.0,37,239.0,10.0,22.0,3.0,1.0,0,0,0,0,11,53.9,4.9,7.0%,90.78
113,Ross Dwelley,19.0,24,245.0,12.9,36.0,3.0,1.0,0,0,0,0,16,49.5,3.1,0.0%,90.32499999999999
112,Jacob Hollister,25.0,40,209.0,8.4,20.0,1.0,3.0,0,0,0,0,16,65.9,4.1,1.0%,87.26999999999998
111,Durham Smythe,26.0,29,208.0,8.0,19.0,0.0,2.0,0,0,0,0,15,58.8,3.9,0.6%,84.4
110,David Njoku,19.0,29,213.0,11.2,28.0,4.0,2.0,0,0,0,0,13,52.3,4.0,90.2%,83.07
109,Tyler Conklin,19.0,26,194.0,10.2,30.0,2.0,1.0,0,0,0,0,16,44.4,2.8,13.7%,74.82
