Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
426,Darnell Mooney,64.0,106,992.0,15.5,49.0,21.0,5.0,0,0,0,0,16,193.2,12.1,65.1%,282.22499999999997
425,Tyreek Hill,81.0,123,959.0,11.8,80.0,13.0,6.0,8,53,0,0,17,218.2,12.8,97.1%,282.17
424,Jauan Jennings,77.0,113,975.0,12.7,45.0,12.0,6.0,0,0,0,0,15,210.5,14.0,84.3%,281.30499999999995
423,Tee Higgins,73.0,109,911.0,12.5,42.0,12.0,10.0,0,0,0,1,12,222.1,18.5,97.5%,265.575
422,Marvin Harrison Jr.,62.0,116,885.0,14.3,60.0,14.0,8.0,0,0,0,1,17,196.5,11.6,94.9%,256.495
421,Jordan Addison,63.0,99,875.0,13.9,69.0,13.0,9.0,3,20,1,0,15,212.5,14.2,89.2%,255.58500000000004
420,George Pickens,59.0,103,900.0,15.3,44.0,17.0,3.0,2,-6,0,1,14,164.4,11.7,91.0%,255.545
419,Jayden Reed,55.0,75,857.0,15.6,70.0,15.0,6.0,20,163,1,1,17,197.0,11.6,82.0%,247.34
418,DeVonta Smith,68.0,89,833.0,12.3,49.0,14.0,8.0,1,1,0,0,13,199.4,15.3,91.9%,244.19500000000002
417,Khalil Shakir,76.0,100,821.0,10.8,52.0,9.0,4.0,2,4,0,0,15,182.5,12.2,84.7%,241.57
416,Josh Downs,72.0,107,803.0,11.2,69.0,10.0,5.0,1,12,0,0,14,183.5,13.1,62.6%,238.03
415,Michael Pittman Jr.,69.0,111,808.0,11.7,33.0,12.0,3.0,0,0,0,1,16,165.8,10.4,72.6%,233.905
414,Alec Pierce,37.0,69,824.0,22.3,65.0,13.0,7.0,0,0,0,0,16,161.4,10.1,23.2%,233.595
413,Keenan Allen,70.0,121,744.0,10.6,45.0,9.0,7.0,0,0,0,0,15,185.4,12.4,31.8%,220.99
412,Rashod Bateman,45.0,72,756.0,16.8,59.0,11.0,9.0,0,0,0,0,17,174.6,10.3,41.9%,218.77
411,Jaylen Waddle,58.0,83,744.0,12.8,63.0,12.0,2.0,4,12,0,0,16,149.6,9.4,88.0%,216.72
410,Wan'Dale Robinson,93.0,140,699.0,7.5,35.0,4.0,3.0,3,18,0,0,17,182.7,10.7,30.7%,213.82500000000002
409,Cooper Kupp,67.0,100,710.0,10.6,69.0,10.0,6.0,2,10,0,0,12,175.0,14.6,87.4%,213.44
408,Rome Odunze,54.0,101,734.0,13.6,47.0,8.0,3.0,3,15,0,1,17,144.9,8.5,86.0%,211.44
407,Quentin Johnston,55.0,91,711.0,12.9,66.0,12.0,8.0,3,6,0,0,15,174.7,11.6,35.0%,210.73499999999999
406,Ray-Ray McCloud III,62.0,87,686.0,11.1,60.0,8.0,1.0,10,79,0,2,17,140.5,8.3,4.7%,202.165
405,Deebo Samuel Sr.,51.0,81,670.0,13.1,76.0,10.0,3.0,42,136,1,1,15,153.6,10.2,86.5%,197.415
404,Tank Dell,51.0,81,667.0,13.1,50.0,9.0,3.0,9,43,0,0,14,140.0,10.0,18.8%,193.965
403,Xavier Worthy,59.0,98,638.0,10.8,54.0,4.0,6.0,20,104,3,0,17,187.2,11.0,93.0%,190.57000000000002
402,DeMario Douglas,66.0,87,621.0,9.4,36.0,8.0,3.0,3,16,0,0,17,147.7,8.7,23.5%,185.66
401,Jalen Tolbert,49.0,79,610.0,12.4,48.0,8.0,7.0,0,0,0,0,17,152.0,8.9,16.6%,180.61000000000004
