Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,FPTS,FPTS/G,ROST,Score
235,Robert Woods,90.0,129,936.0,10.4,56.0,11.0,6.0,24,155,2,1,16,245.1,15.3,1.3%,276.76000000000005
234,Diontae Johnson,88.0,144,923.0,10.5,47.0,10.0,7.0,3,15,0,1,15,221.8,14.8,17.8%,272.325
233,Adam Thielen,74.0,108,925.0,12.5,51.0,11.0,14.0,3,15,0,0,15,254.0,16.9,50.1%,272.225
232,CeeDee Lamb,74.0,111,935.0,12.6,52.0,18.0,5.0,10,82,1,1,16,217.7,13.6,98.7%,271.03999999999996
231,Tee Higgins,67.0,108,908.0,13.6,67.0,14.0,6.0,5,28,0,1,16,194.6,12.2,97.5%,263.59
230,Nelson Agholor,48.0,82,896.0,18.7,85.0,15.0,8.0,0,0,0,0,16,185.6,11.6,1.0%,257.605
229,Chase Claypool,62.0,109,873.0,14.1,84.0,14.0,9.0,10,16,2,1,16,214.9,13.4,1.1%,256.365
228,William Fuller V,53.0,75,879.0,16.6,77.0,14.0,8.0,1,0,0,0,11,188.9,17.2,0.0%,253.89000000000001
227,JuJu Smith-Schuster,97.0,128,831.0,8.6,31.0,13.0,9.0,0,0,0,1,16,234.1,14.6,1.9%,251.89
226,Tyler Boyd,79.0,110,841.0,10.6,72.0,7.0,4.0,5,49,0,0,15,192.6,12.8,2.0%,249.39
225,Curtis Samuel,77.0,97,851.0,11.1,44.0,12.0,3.0,41,200,2,0,15,212.1,14.1,8.9%,248.46499999999997
224,Jerry Jeudy,52.0,113,856.0,16.5,92.0,14.0,3.0,0,0,0,0,16,157.6,9.9,88.8%,246.77499999999998
223,Chris Godwin,65.0,84,840.0,12.9,47.0,13.0,7.0,0,0,0,0,12,191.0,15.9,89.3%,244.185
222,Jarvis Landry,72.0,101,840.0,11.7,32.0,11.0,3.0,4,10,1,0,15,188.0,12.5,7.1%,242.75499999999997
221,Michael Gallup,59.0,105,843.0,14.3,55.0,11.0,5.0,0,0,0,0,16,173.3,10.8,0.7%,242.645
220,Russell Gage Jr.,72.0,109,786.0,10.9,35.0,6.0,4.0,2,9,0,0,16,181.1,11.3,0.0%,229.43499999999997
219,DeVante Parker,63.0,103,793.0,12.6,31.0,10.0,4.0,0,0,0,0,14,166.3,11.9,0.0%,228.29
218,Marquise Brown,58.0,100,769.0,13.3,70.0,13.0,8.0,1,1,0,0,16,183.0,11.4,60.4%,226.84500000000003
217,T.Y. Hilton,56.0,93,762.0,13.6,50.0,11.0,5.0,0,0,0,0,15,164.2,10.9,1.6%,220.73999999999998
216,Julio Jones,51.0,68,771.0,15.1,44.0,16.0,3.0,0,0,0,0,9,146.1,16.2,0.6%,220.36499999999998
215,Mike Williams,48.0,85,756.0,15.8,64.0,13.0,5.0,1,1,0,0,15,153.7,10.2,14.4%,218.37000000000003
214,Brandon Aiyuk,60.0,96,748.0,12.5,49.0,10.0,5.0,6,77,2,0,12,184.5,15.4,72.1%,218.275
213,Tim Patrick,51.0,79,742.0,14.5,61.0,14.0,6.0,0,0,0,0,15,161.2,10.7,3.1%,216.025
212,Darius Slayton,50.0,96,751.0,15.0,41.0,10.0,3.0,2,-1,0,1,16,141.0,8.8,13.8%,214.1
211,Emmanuel Sanders,61.0,82,726.0,11.9,51.0,7.0,5.0,1,12,0,0,14,164.8,11.8,0.0%,212.93499999999997
210,Jakobi Meyers,59.0,81,729.0,12.4,35.0,11.0,0.0,2,9,0,1,14,142.6,10.2,84.5%,209.36
209,Jamison Crowder,59.0,89,699.0,11.8,69.0,9.0,6.0,1,14,0,0,12,172.0,14.3,1.0%,207.97000000000003
208,DJ Chark Jr.,53.0,93,706.0,13.3,73.0,10.0,5.0,0,0,0,0,13,153.6,11.8,1.4%,207.84500000000003
207,Marquez Valdes-Scantling,33.0,63,690.0,20.9,78.0,10.0,6.0,4,13,0,1,16,137.3,8.6,6.6%,198.985
