Rank,Player,REC,TGT,Rec Yds,Y/R,LG,20+,Rec TD,ATT,Rec Yds,Rec TD,FL,G,FPTS,FPTS/G,ROST,team_abbr,team_name,year,week,Score,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,Team Name
99,Collin Johnson,1,1,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,0.0%,LV,las_vegas_raiders,2020,1,7.35,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Las Vegas Raiders
94,Josh Reynolds,1,1,17,17.0,17,0,0,0,0,0,0,1,1.7,1.7,1.0%,NYJ,new_york_jets,2020,1,8.85,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,New York Jets
61,Curtis Samuel,5,8,38,7.6,19,0,0,1,5,0,0,1,4.3,4.3,8.9%,BUF,buffalo_bills,2020,1,14.29,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Buffalo Bills
87,Zach Pascal,2,3,18,9.0,12,0,0,0,0,0,0,1,1.8,1.8,0.1%,NYG,new_york_giants,2020,1,7.75,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,New York Giants
63,Cooper Kupp,4,5,40,10.0,15,0,0,0,0,0,0,1,4.0,4.0,88.3%,SEA,seattle_seahawks,2020,1,14.4,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,Seattle Seahawks
64,David Moore,3,3,28,9.3,18,0,0,1,12,0,0,1,4.0,4.0,0.8%,CAR,carolina_panthers,2020,1,11.24,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Carolina Panthers
65,A.J. Brown,5,8,39,7.8,12,0,0,0,0,0,0,1,3.9,3.9,99.0%,PHI,philadelphia_eagles,2020,1,13.87,FedExField,Outdoor,Grass,300.0,1997.0,Landover,MD,38.9078,-76.8645,Philadelphia Eagles
66,Darnell Mooney,3,3,38,12.7,19,0,0,0,0,0,0,1,3.8,3.8,67.8%,ATL,atlanta_falcons,2020,1,14.36,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,Atlanta Falcons
67,Miles Boykin,3,4,37,12.3,25,1,0,0,0,0,0,1,3.7,3.7,0.0%,CHI,chicago_bears,2020,1,14.74,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
76,Justin Jefferson,2,3,26,13.0,17,0,0,0,0,0,0,1,2.6,2.6,99.0%,MIN,minnesota_vikings,2020,1,10.85,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Minnesota Vikings
69,Diontae Johnson,6,10,57,9.5,18,0,0,0,0,0,1,1,3.7,3.7,18.1%,CLE,cleveland_browns,2020,1,19.48,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Cleveland Browns
70,Kendrick Bourne,2,5,34,17.0,18,0,0,0,0,0,0,1,3.4,3.4,2.7%,NE,new_england_patriots,2020,1,13.55,Gillette Stadium,Outdoor,Turf,289.0,2002.0,Foxborough,MA,42.0909,-71.2643,New England Patriots
83,Hunter Renfrow,2,2,21,10.5,11,0,0,0,0,0,0,1,2.1,2.1,2.1%,CAR,carolina_panthers,2020,1,8.62,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Carolina Panthers
84,Brandin Cooks,2,5,20,10.0,11,0,0,0,0,0,0,1,2.0,2.0,11.5%,NO,new_orleans_saints,2020,1,8.3,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,New Orleans Saints
73,Van Jefferson,1,3,31,31.0,31,1,0,0,0,0,0,1,3.1,3.1,1.8%,TEN,tennessee_titans,2020,1,15.95,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Tennessee Titans
85,Demarcus Robinson,3,6,20,6.7,9,0,0,0,0,0,0,1,2.0,2.0,10.1%,SF,san_francisco_49ers,2020,1,7.96,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,San Francisco 49ers
236,Van Jefferson,4,5,45,11.3,21,1,0,1,-1,0,0,1,4.4,4.4,1.8%,TEN,tennessee_titans,2020,2,16.55,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Tennessee Titans
169,Calvin Ridley,7,10,109,15.6,25,3,2,0,0,0,0,1,22.9,22.9,88.1%,TEN,tennessee_titans,2020,2,35.84,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,Tennessee Titans
332,Kalif Raymond,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.4%,DET,detroit_lions,2020,2,0.0,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Detroit Lions
330,Mack Hollins,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,2.8%,NE,new_england_patriots,2020,2,0.0,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,New England Patriots
328,Deandre Carter,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,CLE,cleveland_browns,2020,2,0.0,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Cleveland Browns
323,Collin Johnson,0,3,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,LV,las_vegas_raiders,2020,2,0.0,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,Las Vegas Raiders
320,Trent Sherfield Sr.,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,DEN,denver_broncos,2020,2,0.0,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,Denver Broncos
318,Quinton Bell,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,MIA,miami_dolphins,2020,2,0.0,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,Miami Dolphins
316,Malik Taylor,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,DET,detroit_lions,2020,2,0.0,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,Detroit Lions
313,Jamal Agnew,1,1,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,ATL,atlanta_falcons,2020,2,0.35,AT&T Stadium,Indoor,Turf,639.0,2009.0,Arlington,TX,32.7473,-97.0945,Atlanta Falcons
309,Ray-Ray Mccloud Iii,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,5.6%,ATL,atlanta_falcons,2020,2,0.0,AT&T Stadium,Indoor,Turf,639.0,2009.0,Arlington,TX,32.7473,-97.0945,Atlanta Falcons
304,Anthony Miller,0,3,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,BAL,baltimore_ravens,2020,2,0.0,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,Baltimore Ravens
