Rank,Player,Team Name,Score,FPTS,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,G,ROST,week,year
188,Cairo Santos,Chicago Bears,27.7,9.0,2,2,100.0,47,0,0,1,1,0,2,2,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,1,15.2%,5,2020
4,Jason Sanders,Miami Dolphins,39.1,22.0,5,5,100.0,50,0,2,1,1,1,4,4,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,44.9%,5,2020
6,Graham Gano,New York Giants,36.9,20.0,4,4,100.0,55,0,1,0,0,3,2,2,AT&T Stadium,Indoor,Turf,639.0,2009.0,Arlington,TX,32.7473,-97.0945,1,2.6%,5,2020
441,Jake Elliott,Philadelphia Eagles,2.3,3.0,0,1,0.0,0,0,0,0,0,0,3,3,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,60.9%,5,2020
357,Tyler Bass,Buffalo Bills,24.2,5.0,1,1,100.0,43,0,0,0,1,0,1,1,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,1,61.0%,5,2020
358,Dustin Hopkins,Cleveland Browns,24.2,5.0,1,1,100.0,48,0,0,0,1,0,1,1,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,1,2.2%,5,2020
67,Ka'Imi Fairbairn,Houston Texans,31.2,13.0,3,3,100.0,46,0,0,2,1,0,3,3,NRG Stadium,Indoor,Turf,50.0,2002.0,Houston,TX,29.6847,-95.4107,1,65.3%,5,2020
68,Younghoe Koo,Atlanta Falcons,31.2,13.0,3,3,100.0,54,0,0,1,1,1,1,1,Bank of America Stadium,Outdoor,Grass,748.0,1996.0,Charlotte,NC,35.2258,-80.8528,1,21.9%,5,2020
318,Harrison Butker,Kansas City Chiefs,24.9,6.0,1,1,100.0,32,0,0,1,0,0,3,3,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,1,69.3%,5,2020
189,Chris Boswell,Pittsburgh Steelers,27.0,9.0,1,1,100.0,41,0,0,0,1,0,5,5,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,72.7%,5,2020
27,Wil Lutz,Denver Broncos,32.6,15.0,3,3,100.0,53,0,0,1,1,1,3,3,,,,,,,,,,1,34.5%,5,2020
440,Jason Myers,Seattle Seahawks,2.1,3.0,0,0,0.0,0,0,0,0,0,0,3,3,Lumen Field,Outdoor,Turf,20.0,2002.0,Seattle,WA,47.5952,-122.3316,1,8.6%,5,2020
230,Graham Gano,New York Giants,27.1,8.0,2,2,100.0,33,0,1,1,0,0,2,2,MetLife Stadium,Outdoor,Turf,3.0,2010.0,East Rutherford,NJ,40.8136,-74.0744,1,2.6%,6,2020
231,Harrison Butker,Kansas City Chiefs,27.0,8.0,2,2,100.0,37,0,0,2,0,0,2,3,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,69.3%,6,2020
232,Chris Boswell,Pittsburgh Steelers,26.3,8.0,1,1,100.0,35,0,0,1,0,0,5,5,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,72.7%,6,2020
507,Jake Elliott,Philadelphia Eagles,0.2,0.0,0,1,0.0,0,0,0,0,0,0,0,0,M&T Bank Stadium,Outdoor,Grass,10.0,1998.0,Baltimore,MD,39.2779,-76.6227,1,60.9%,6,2020
321,Jason Sanders,Miami Dolphins,25.0,6.0,1,1,100.0,24,0,1,0,0,0,3,3,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,44.9%,6,2020
114,Joey Slye,Tennessee Titans,25.2,11.0,3,4,75.0,48,0,2,0,1,0,1,1,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,1,2.1%,6,2020
2,Brandon Mcmanus,Green Bay Packers,41.2,24.0,6,6,100.0,54,0,2,0,2,2,0,0,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,1,7.7%,6,2020
277,Dustin Hopkins,Cleveland Browns,19.94,7.0,2,3,66.7,35,0,1,1,0,0,1,1,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,2.2%,6,2020
320,Ka'Imi Fairbairn,Houston Texans,24.9,6.0,1,1,100.0,38,0,0,1,0,0,3,4,Nissan Stadium,Outdoor,Grass,476.0,1999.0,Nashville,TN,36.1665,-86.7713,1,65.3%,6,2020
319,Tyler Bass,Buffalo Bills,15.1,6.0,1,2,50.0,48,0,0,0,1,0,2,2,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,61.0%,6,2020
69,Cairo Santos,Chicago Bears,31.2,13.0,3,3,100.0,55,0,0,2,0,1,2,2,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,1,15.2%,6,2020
7,Younghoe Koo,Atlanta Falcons,36.9,20.0,4,4,100.0,50,0,1,0,2,1,4,4,Mercedes-Benz Stadium,Indoor,Turf,1050.0,2017.0,Atlanta,GA,33.755,-84.4008,1,21.9%,6,2020
190,Daniel Carlson,Las Vegas Raiders,27.7,9.0,2,2,100.0,42,0,0,1,1,0,2,2,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,1,14.9%,7,2020
403,Jake Elliott,Philadelphia Eagles,13.7,4.0,1,2,50.0,31,0,0,1,0,0,1,1,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,1,60.9%,7,2020
359,Cairo Santos,Chicago Bears,24.2,5.0,1,1,100.0,42,0,0,0,1,0,1,1,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,1,15.2%,7,2020
85,Jason Myers,Seattle Seahawks,29.8,12.0,2,2,100.0,44,0,0,0,2,0,4,4,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,1,8.6%,7,2020
360,Dustin Hopkins,Cleveland Browns,14.4,5.0,1,2,50.0,30,0,0,1,0,0,2,2,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,1,2.2%,7,2020
191,Chris Boswell,Pittsburgh Steelers,27.7,9.0,2,2,100.0,38,0,0,2,0,0,3,3,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,72.7%,7,2020
442,Graham Gano,New York Giants,2.1,3.0,0,0,0.0,0,0,0,0,0,0,3,3,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,1,2.6%,7,2020
233,Ka'Imi Fairbairn,Houston Texans,20.64,8.0,2,3,66.7,38,0,1,1,0,0,2,2,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,65.3%,7,2020
3,Tyler Bass,Buffalo Bills,35.8,23.0,6,8,75.0,53,0,1,1,3,1,0,0,Highmark Stadium,Outdoor,Grass,600.0,1973.0,Orchard Park,NY,42.7738,-78.7868,1,61.0%,7,2020
361,Brandon Mcmanus,Green Bay Packers,24.2,5.0,1,1,100.0,43,0,0,0,1,0,1,2,Lambeau Field,Outdoor,Grass,640.0,1957.0,Green Bay,WI,44.5013,-88.0622,1,7.7%,7,2020
468,Younghoe Koo,Atlanta Falcons,1.4,2.0,0,0,0.0,0,0,0,0,0,0,2,2,Ford Field,Indoor,Turf,600.0,2002.0,Detroit,MI,42.34,-83.0456,1,21.9%,7,2020
41,Harrison Butker,Kansas City Chiefs,32.0,14.0,3,3,100.0,40,0,1,1,1,0,4,5,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,69.3%,7,2020
278,Joey Slye,Tennessee Titans,15.8,7.0,1,2,50.0,43,0,0,0,1,0,3,3,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,2.1%,7,2020
115,Wil Lutz,Denver Broncos,29.1,11.0,2,2,100.0,43,0,0,0,2,0,3,3,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,1,34.5%,7,2020
490,Jake Elliott,Philadelphia Eagles,0.7,1.0,0,0,0.0,0,0,0,0,0,0,1,1,Lincoln Financial Field,Outdoor,Grass,30.0,2003.0,Philadelphia,PA,39.9008,-75.1675,1,60.9%,8,2020
362,Graham Gano,New York Giants,24.2,5.0,1,1,100.0,33,0,0,1,0,0,2,2,Raymond James Stadium,Outdoor,Grass,26.0,1998.0,Tampa,FL,27.9759,-82.5033,1,2.6%,8,2020
70,Younghoe Koo,Atlanta Falcons,32.1,13.0,4,4,100.0,37,0,2,2,0,0,1,2,Mercedes-Benz Stadium,Indoor,Turf,1050.0,2017.0,Atlanta,GA,33.755,-84.4008,1,21.9%,8,2020
404,Jason Sanders,Miami Dolphins,2.8,4.0,0,0,0.0,0,0,0,0,0,0,4,4,Hard Rock Stadium,Outdoor,Grass,7.0,1987.0,Miami Gardens,FL,25.958,-80.238,1,44.9%,8,2020
405,Chris Boswell,Pittsburgh Steelers,2.8,4.0,0,0,0.0,0,0,0,0,0,0,4,4,Acrisure Stadium,Outdoor,Grass,730.0,2001.0,Pittsburgh,PA,40.4468,-80.0158,1,72.7%,8,2020
279,Brandon Mcmanus,Green Bay Packers,25.6,7.0,1,1,100.0,35,0,0,1,0,0,4,4,U.S. Bank Stadium,Indoor,Turf,840.0,2016.0,Minneapolis,MN,44.974,-93.2581,1,7.7%,8,2020
42,Cairo Santos,Chicago Bears,32.0,14.0,3,3,100.0,51,0,1,0,1,1,2,2,Caesars Superdome,Indoor,Turf,3.0,1975.0,New Orleans,LA,29.9509,-90.0815,1,15.2%,8,2020
