Rank,Player,REC,TGT,Rec Yds,Y/R,LG,20+,Rec TD,ATT,Rec Yds,Rec TD,FL,G,FPTS,FPTS/G,ROST,team_abbr,team_name,year,week,Score,stadium_name,indoor_outdoor,surface_type,elevation,year_opened,city,state,latitude,longitude,Team Name
47,Drew Sample,1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.6%,CIN,cincinnati_bengals,2020,1,4.34,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Cincinnati Bengals
118,Mo Alie-Cox,5,6,111,22.2,33,3,0,0,0,0,0,1,11.1,11.1,0.6%,IND,indianapolis_colts,2020,2,44.2,Lucas Oil Stadium,Indoor,Turf,700.0,2008.0,Indianapolis,IN,39.7601,-86.1639,Indianapolis Colts
109,Tyler Higbee,5,5,54,10.8,28,1,3,0,0,0,0,1,23.4,23.4,17.1%,LAR,los_angeles_rams,2020,2,37.65,SoFi Stadium,Outdoor,Turf,100.0,2020.0,Inglewood,CA,33.9535,-118.3392,Los Angeles Rams
212,James Winchester,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,KC,kansas_city_chiefs,2020,2,0.0,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Kansas City Chiefs
211,Tyler Ott,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,WAS,washington_commanders,2020,2,0.0,State Farm Stadium,Indoor,Turf,1070.0,2006.0,Glendale,AZ,33.5275,-112.2625,Washington Commanders
205,Zach Wood,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,2.5%,NO,new_orleans_saints,2020,2,0.0,Allegiant Stadium,Indoor,Turf,2001.0,2020.0,Las Vegas,NV,36.0908,-115.183,New Orleans Saints
199,Tanner Hudson,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,1.2%,CIN,cincinnati_bengals,2020,2,0.0,FirstEnergy Stadium,Outdoor,Grass,577.0,1999.0,Cleveland,OH,41.5061,-81.6995,Cincinnati Bengals
197,Durham Smythe,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,CHI,chicago_bears,2020,2,0.0,Soldier Field,Outdoor,Grass,595.0,1924.0,Chicago,IL,41.8623,-87.6167,Chicago Bears
196,Tyler Conklin,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,14.3%,LAC,los_angeles_chargers,2020,2,0.0,GEHA Field at Arrowhead Stadium,Outdoor,Grass,1020.0,1972.0,Kansas City,MO,39.049,-94.4839,Los Angeles Chargers
194,Andrew Beck,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,NYJ,new_york_jets,2020,2,0.0,Levi's Stadium,Outdoor,Grass,13.0,2014.0,Santa Clara,CA,37.403,-121.9692,New York Jets
