Year,Week,Rank,Player,Team,FPTS,Score,Y/A,FPTS/G,FPTS,Rush_TD,FL,ATT,REC,TGT,Y/R,Rush_Yds,LG,20+,Date,Time,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
2018,1,32,Matt Breida,san_francisco_49ers,5.1,25.08,4.2,5.1,5.1,0,0,11,1,2,5.0,46,11,0,2018-09-09,1:00PM,U.S. Bank Stadium,Minneapolis,MN,44.974,-93.2581,Indoor,Turf,840.0,2016.0,20.6,0.0,50.04,54.0,1018.6
2018,1,33,Jamaal Williams,green_bay_packers,4.6,24.96,3.1,4.6,4.6,0,0,15,0,2,0.0,46,11,0,2018-09-09,8:20PM,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640.0,1957.0,13.7,0.0,24.840000000000003,79.0,1019.5
2018,1,34,Dalvin Cook,minnesota_vikings,7.5,24.22,2.5,7.5,7.5,0,1,16,6,7,9.2,40,15,0,2018-09-09,1:00PM,U.S. Bank Stadium,Minneapolis,MN,44.974,-93.2581,Indoor,Turf,840.0,2016.0,20.6,0.0,50.04,54.0,1018.6
2018,1,35,Jordan Wilkins,indianapolis_colts,6.1,23.18,2.9,6.1,6.1,0,0,14,3,3,7.0,40,12,0,2018-09-09,1:00PM,Lucas Oil Stadium,Indianapolis,IN,39.7601,-86.1639,Indoor,Turf,700.0,2008.0,16.9,0.1,66.96000000000001,76.0,1012.7
2018,1,36,Leonard Fournette,jacksonville_jaguars,5.5,23.09,4.6,5.5,5.5,0,0,9,3,3,4.7,41,12,0,2018-09-09,1:00PM,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3.0,2010.0,15.1,0.7,59.04,86.0,1023.5
2018,1,37,Alfred Blue,houston_texans,9.6,22.98,7.2,9.6,9.6,1,0,5,0,0,0.0,36,17,0,2018-09-09,1:00PM,Gillette Stadium,Foxborough,MA,42.0909,-71.2643,Outdoor,Turf,289.0,2002.0,16.6,0.0,55.080000000000005,58.0,1025.7
2018,1,38,Latavius Murray,minnesota_vikings,4.2,22.67,3.8,4.2,4.2,0,0,11,0,0,0.0,42,9,0,2018-09-09,1:00PM,U.S. Bank Stadium,Minneapolis,MN,44.974,-93.2581,Indoor,Turf,840.0,2016.0,20.6,0.0,50.04,54.0,1018.6
2018,1,39,Devonta Freeman,atlanta_falcons,5.0,20.5,6.0,5.0,5.0,0,0,6,3,5,4.7,36,20,1,2018-09-06,8:20PM,Lincoln Financial Field,Philadelphia,PA,39.9008,-75.1675,Outdoor,Grass,30.0,2003.0,28.6,0.2,18.0,69.0,1019.2
2018,1,40,Alfred Morris,san_francisco_49ers,1.8,19.58,3.2,1.8,1.8,0,1,12,0,0,0.0,38,14,0,2018-09-09,1:00PM,U.S. Bank Stadium,Minneapolis,MN,44.974,-93.2581,Indoor,Turf,840.0,2016.0,20.6,0.0,50.04,54.0,1018.6
2018,1,41,Cj Anderson,carolina_panthers,3.5,18.95,5.0,3.5,3.5,0,0,7,0,0,0.0,35,9,0,2018-09-09,4:25PM,Bank of America Stadium,Charlotte,NC,35.2258,-80.8528,Outdoor,Grass,748.0,1996.0,28.0,0.1,42.48,71.0,1010.9
