Year,Week,Rank,Player,Team,FPTS,Score,FPTS/G,FPTS,FL,ATT,REC,TGT,Y/R,20+,Rec_Yds,Rec_TD,Date,Time,stadium_name,city,state,latitude,longitude,indoor_outdoor,surface_type,elevation,year_opened,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
2018,1,35,Allen Robinson,chicago_bears,6.1,19.05,6.1,6.1,0,0,4,7,15.3,1,61,0,2018-09-09,8:20PM,Lambeau Field,Green Bay,WI,44.5013,-88.0622,Outdoor,Grass,640.0,1957.0,13.7,0.0,24.840000000000003,79.0,1019.5
2018,1,36,Ryan Grant,indianapolis_colts,5.9,18.66,5.9,5.9,0,0,8,9,7.4,0,59,0,2018-09-09,1:00PM,Lucas Oil Stadium,Indianapolis,IN,39.7601,-86.1639,Indoor,Turf,700.0,2008.0,16.9,0.1,66.96000000000001,76.0,1012.7
2018,1,37,Robbie Chosen,new_york_jets,9.2,17.35,9.2,9.2,0,1,1,1,41.0,1,41,1,2018-09-10,7:10PM,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600.0,2002.0,17.2,0.0,42.84,81.0,1013.5
2018,1,38,Keelan Cole,jacksonville_jaguars,5.4,17.35,5.4,5.4,0,0,3,4,18.0,1,54,0,2018-09-09,1:00PM,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3.0,2010.0,15.1,0.7,59.04,86.0,1023.5
2018,1,39,Marvin Jones,detroit_lions,5.4,17.03,5.4,5.4,0,0,4,8,13.5,1,54,0,2018-09-10,7:10PM,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600.0,2002.0,17.2,0.0,42.84,81.0,1013.5
2018,1,40,Cooper Kupp,los_angeles_rams,12.8,16.81,12.8,12.8,0,2,5,9,10.4,0,52,1,2018-09-10,10:20PM,Allegiant Stadium,Las Vegas,NV,36.0908,-115.183,Indoor,Turf,2001.0,2020.0,31.0,0.0,64.8,10.0,1004.2
2018,1,41,Dede Westbrook,jacksonville_jaguars,5.1,16.13,5.1,5.1,0,0,5,6,10.2,1,51,0,2018-09-09,1:00PM,MetLife Stadium,East Rutherford,NJ,40.8136,-74.0744,Outdoor,Turf,3.0,2010.0,15.1,0.7,59.04,86.0,1023.5
2018,1,42,Willie Snead,baltimore_ravens,10.9,16.1,10.9,10.9,0,0,4,6,12.3,1,49,1,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,43,Terrelle Pryor,buffalo_bills,4.9,15.84,4.9,4.9,0,0,3,3,16.3,1,49,0,2018-09-09,1:00PM,M&T Bank Stadium,Baltimore,MD,39.2779,-76.6227,Outdoor,Grass,10.0,1998.0,18.0,1.8,104.4,89.0,1018.7
2018,1,44,Terrelle Pryor,new_york_jets,4.9,15.84,4.9,4.9,0,0,3,3,16.3,1,49,0,2018-09-10,7:10PM,Ford Field,Detroit,MI,42.34,-83.0456,Indoor,Turf,600.0,2002.0,17.2,0.0,42.84,81.0,1013.5
