city,state,stadium_name,Date,Time,latitude,longitude,timezone,temp_C,precip_mm,wind_kph,rel_humidity,pressure_hpa
Landover,MD,FedExField,2018-10-14,1:00PM,38.9078,-76.8645,America/New_York,12.5,0.0,7.920000000000001,78,1024.5
Miami Gardens,FL,Hard Rock Stadium,2018-10-14,1:00PM,25.958,-80.238,America/New_York,30.1,0.2,36.0,68,1016.1
Houston,TX,NRG Stadium,2018-10-14,1:00PM,29.6847,-95.4107,America/Chicago,30.5,0.0,66.24,63,1011.3
Atlanta,GA,Mercedes-Benz Stadium,2018-10-14,1:00PM,33.755,-84.4008,America/New_York,21.7,0.0,39.24,69,1020.1
Cincinnati,OH,Paycor Stadium,2018-10-14,1:00PM,39.0954,-84.516,America/New_York,11.1,0.0,38.16,85,1019.0
Cleveland,OH,FirstEnergy Stadium,2018-10-14,1:00PM,41.5061,-81.6995,America/New_York,12.3,0.0,33.12,57,1020.7
East Rutherford,NJ,MetLife Stadium,2018-10-14,1:00PM,40.8136,-74.0744,America/New_York,14.7,0.0,43.92,50,1023.8
Minneapolis,MN,U.S. Bank Stadium,2018-10-14,1:00PM,44.974,-93.2581,America/Chicago,2.2,0.2,37.800000000000004,68,1021.5
Las Vegas,NV,Allegiant Stadium,2018-10-14,1:00PM,36.0908,-115.183,America/Los_Angeles,21.4,0.0,84.60000000000001,10,1014.9
Denver,CO,Empower Field at Mile High,2018-10-14,4:05PM,39.7439,-105.0201,America/Denver,-2.7,0.0,30.6,55,1030.9
Arlington,TX,AT&T Stadium,2018-10-14,4:25PM,32.7473,-97.0945,America/Chicago,28.2,0.0,64.44,68,1008.4
Nashville,TN,Nissan Stadium,2018-10-14,4:25PM,36.1665,-86.7713,America/Chicago,21.1,1.1,50.4,87,1013.6
Glendale,AZ,State Farm Stadium,2018-10-18,8:20PM,33.5275,-112.2625,America/Phoenix,18.4,0.0,21.240000000000002,62,1015.3
Foxborough,MA,Gillette Stadium,2018-10-14,8:20PM,42.0909,-71.2643,America/New_York,8.8,0.0,29.16,78,1022.9
Green Bay,WI,Lambeau Field,2018-10-15,8:15PM,44.5013,-88.0622,America/Chicago,1.8,0.0,39.24,60,1022.1
Inglewood,CA,SoFi Stadium,2018-10-21,9:30AM,33.9535,-118.3392,America/Los_Angeles,21.0,0.0,37.800000000000004,65,1013.5
Philadelphia,PA,Lincoln Financial Field,2018-10-21,1:00PM,39.9008,-75.1675,America/New_York,8.4,0.0,98.28,47,1017.8
Miami Gardens,FL,Hard Rock Stadium,2018-10-21,1:00PM,25.958,-80.238,America/New_York,30.4,0.0,43.2,54,1015.7
Indianapolis,IN,Lucas Oil Stadium,2018-10-21,1:00PM,39.7601,-86.1639,America/Indiana/Indianapolis,7.3,0.0,21.96,51,1028.6
Chicago,IL,Soldier Field,2018-10-21,1:00PM,41.8623,-87.6167,America/Chicago,6.8,0.0,66.24,49,1026.0
Tampa,FL,Raymond James Stadium,2018-10-21,1:00PM,27.9759,-82.5033,America/New_York,26.6,0.0,48.96,67,1017.2
Jacksonville,FL,TIAA Bank Field,2018-10-21,1:00PM,30.3239,-81.6373,America/New_York,21.1,0.0,78.84,57,1020.0
Baltimore,MD,M&T Bank Stadium,2018-10-21,4:05PM,39.2779,-76.6227,America/New_York,11.0,0.0,90.36000000000001,40,1019.4
East Rutherford,NJ,MetLife Stadium,2018-10-21,1:00PM,40.8136,-74.0744,America/New_York,6.9,0.0,119.16000000000001,47,1015.2
Landover,MD,FedExField,2018-10-21,4:25PM,38.9078,-76.8645,America/New_York,11.5,0.0,77.03999999999999,34,1019.5
Santa Clara,CA,Levi's Stadium,2018-10-21,4:25PM,37.403,-121.9692,America/Los_Angeles,19.9,0.0,50.4,55,1013.3
Kansas City,MO,GEHA Field at Arrowhead Stadium,2018-10-21,8:20PM,39.049,-94.4839,America/Chicago,12.9,0.0,65.88000000000001,51,1020.0
