Rank,Player Team (Bye),POS,AVG,Main_POS
232,Theo Johnson NYG (14),TE31,242.0,TE
233,Noah Gray KC (10),TE32,244.5,TE
234,Mike Williams LAC (12),WR81,245.0,WR
235,Zack Moss CIN (10),RB73,247.0,RB
236,Tory Horton SEA (8),WR82,247.5,WR
237,Green Bay Packers DST (5),DST13,248.0,DST
238,Tyler Conklin LAC (12),TE33,248.0,TE
239,Alexander Mattison MIA (12),RB74,248.5,RB
240,Adonai Mitchell IND (11),WR83,248.5,WR
241,Jaleel McLaughlin DEN (12),RB75,248.5,RB
242,Mason Rudolph PIT (5),QB37,184.0,QB
243,Dyami Brown JAC (8),WR84,249.5,WR
244,Elijah Arroyo SEA (8),TE34,250.0,TE
245,New York Giants DST (14),DST14,251.0,DST
246,Tahj Brooks CIN (10),RB76,251.5,RB
247,Cameron Dicker LAC (12),K2,189.0,K
248,Xavier Restrepo TEN (10),WR85,252.0,WR
249,San Francisco 49ers DST (14),DST15,253.0,DST
250,Jalen Milroe SEA (8),QB38,253.0,QB
251,Miles Sanders DAL (10),RB77,254.0,RB
252,Dontayvion Wicks GB (5),WR86,254.5,WR
253,Jake Bates DET (8),K3,195.0,K
254,Ja'Tavion Sanders CAR (14),TE35,255.0,TE
255,Tyler Lockett TEN (10),WR87,256.5,WR
256,Jimmy Horn Jr. CAR (14),WR88,201.0,WR
257,Jalen Coker CAR (14),WR89,203.0,WR
258,Tyler Higbee LAR (8),TE36,259.5,TE
259,Ka'imi Fairbairn HOU (6),K4,206.0,K
260,Roman Wilson PIT (5),WR90,260.5,WR
261,Kenneth Gainwell PIT (5),RB78,210.0,RB
262,Andrei Iosivas CIN (10),WR91,263.5,WR
263,New York Jets DST (9),DST16,264.0,DST
264,Taysom Hill NO (11),TE37,264.0,TE
265,Chicago Bears DST (5),DST17,266.0,DST
266,Raheem Mostert LV (8),RB79,266.5,RB
267,Seattle Seahawks DST (8),DST18,219.0,DST
268,Wil Lutz DEN (12),K5,221.0,K
269,Tutu Atwell LAR (8),WR92,268.0,WR
270,A.J. Dillon PHI (9),RB80,224.0,RB
271,Tampa Bay Buccaneers DST (9),DST19,227.0,DST
272,Cincinnati Bengals DST (10),DST20,271.0,DST
273,Diontae Johnson CLE (9),WR93,272.5,WR
274,Washington Commanders DST (12),DST21,273.0,DST
275,Chase McLaughlin TB (9),K6,232.0,K
276,Jalen Tolbert DAL (10),WR94,232.0,WR
277,Arizona Cardinals DST (8),DST22,273.5,DST
278,Cleveland Browns DST (9),DST23,234.0,DST
279,Terrance Ferguson LAR (8),TE38,274.5,TE
280,Trevor Etienne CAR (14),RB81,275.0,RB
281,Dameon Pierce HOU (6),RB82,275.0,RB
282,Tre Tucker LV (8),WR95,275.5,WR
283,New England Patriots DST (14),DST24,237.0,DST
284,Elic Ayomanor TEN (10),WR96,276.5,WR
285,Calvin Austin III PIT (5),WR97,276.5,WR
286,Savion Williams GB (5),WR98,239.0,WR
287,Kayshon Boutte NE (14),WR99,278.5,WR
288,Ray-Ray McCloud III ATL (5),WR100,278.5,WR
289,Elijah Moore BUF (7),WR101,279.0,WR
290,Harrison Butker KC (10),K7,247.0,K
291,Jacory Croskey-Merritt WAS (12),RB83,281.5,RB
292,Tai Felton MIN (6),WR102,249.0,WR
293,Indianapolis Colts DST (11),DST25,250.0,DST
294,Sean Tucker TB (9),RB84,282.5,RB
295,Noah Fant SEA (8),TE39,288.0,TE
296,Harold Fannin Jr. CLE (9),TE40,283.5,TE
297,Evan McPherson CIN (10),K8,255.0,K
298,Jason Sanders MIA (12),K9,256.0,K
299,Devin Singletary NYG (14),RB85,285.5,RB
300,Kendre Miller NO (11),RB86,285.5,RB
301,Atlanta Falcons DST (5),DST26,261.0,DST
302,Troy Franklin DEN (12),WR103,292.0,WR
303,Devaughn Vele DEN (12),WR104,293.0,WR
304,Antonio Gibson NE (14),RB87,272.0,RB
305,Isaac TeSlaa DET (8),WR105,293.5,WR
306,Chris Boswell PIT (5),K10,273.0,K
307,Nick Westbrook-Ikhine MIA (12),WR106,275.0,WR
308,Ty Johnson BUF (7),RB88,295.0,RB
309,Tyler Bass BUF (7),K11,276.0,K
310,Brandon McManus GB (5),K12,278.0,K
311,Ben Sinnott WAS (12),TE41,279.0,TE
312,Tyler Loop BAL (7),K13,279.0,K
313,Jalen Nailor MIN (6),WR107,282.0,WR
314,Malik Washington MIA (12),WR108,299.0,WR
315,Marquez Valdes-Scantling SEA (8),WR109,284.0,WR
316,Kenny Pickett CLE (9),QB39,285.0,QB
317,Jake Elliott PHI (9),K14,286.0,K
318,Christian Watson GB (5),WR110,286.0,WR
319,Ja'Lynn Polk NE (14),WR111,288.0,WR
320,Demarcus Robinson SF (14),WR112,290.0,WR
321,Miami Dolphins DST (12),DST27,291.0,DST
322,Brandin Cooks NO (11),WR113,303.0,WR
323,Noah Brown WAS (12),WR114,293.0,WR
324,Emanuel Wilson GB (5),RB89,294.0,RB
325,Jaylin Lane WAS (12),WR115,294.0,WR
326,Damien Martinez SEA (8),RB90,304.5,RB
327,Keaton Mitchell BAL (7),RB91,305.0,RB
328,Matt Gay WAS (12),K15,297.0,K
329,Khalil Herbert IND (11),RB92,297.0,RB
330,Jordan Whittington LAR (8),WR116,298.0,WR
331,Las Vegas Raiders DST (8),DST28,299.0,DST
332,Luke McCaffrey WAS (12),WR117,302.0,WR
333,Marcus Mariota WAS (12),QB40,303.0,QB
334,Dawson Knox BUF (7),TE42,304.0,TE
335,Austin Hooper NE (14),TE43,305.0,TE
336,Daniel Carlson LV (8),K16,307.0,K
337,Will Reichard MIN (6),K17,308.0,K
338,Jermaine Burton CIN (10),WR118,310.0,WR
339,Cam Akers NO (11),RB93,311.0,RB
340,Phil Mafah DAL (10),RB94,311.0,RB
341,Carolina Panthers DST (14),DST29,312.0,DST
342,Tennessee Titans DST (10),DST30,313.0,DST
343,Isaiah Davis NYJ (9),RB95,313.0,RB
344,KaVontae Turpin DAL (10),WR119,315.0,WR
345,Spencer Rattler NO (11),QB41,316.0,QB
346,Aidan O'Connell LV (8),QB42,317.0,QB
347,Davis Mills HOU (6),QB43,318.0,QB
348,Tank Dell HOU (6),WR120,319.0,WR
349,Hendon Hooker DET (8),QB44,320.0,QB
350,Tanner McKee PHI (9),QB45,321.0,QB
351,New Orleans Saints DST (11),DST31,322.0,DST
352,Samaje Perine CIN (10),RB96,323.0,RB
353,Luke Schoonmaker DAL (10),TE44,324.0,TE
354,Jacksonville Jaguars DST (8),DST32,325.0,DST
