year,week,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game,yds,td
2026.0,17,6d07cd4886f7b4d60fb9cd65fb3a7737,Tory Horton,SEA,WR,8.0,52.099999999999994,65.1,6.51,8.1,161.0,5.0
2026.0,17,d284ce7ead12c9996c01e6d436f4b9fd,Travis Hunter,JAC,WR,7.0,35.8,63.8,5.11,9.1,298.0,1.0
2026.0,17,4d451b761a15e81116b7006752632151,Cedric Tillman,CLE,WR,13.0,39.0,60.0,3.0,4.6,270.0,2.0
2026.0,17,cafc54ae47c0d2994a64f68a1c6afda5,Isaiah Williams,NYJ,WR,15.0,32.7,58.7,2.18,3.9,193.0,0.0
2026.0,17,026c1b54b32fbb1b2a66b341b9f1086e,Demarcus Robinson,SF,WR,14.0,36.2,58.2,2.59,4.2,276.0,1.0
2026.0,17,c274c9a034bd91eaa1be9398e40834da,Christian Kirk,SF,WR,13.0,29.9,57.9,2.3,4.5,239.0,1.0
2026.0,17,30037e13f230ed7d5480082e03cf7af7,Malik Nabers,NYG,WR,4.0,39.1,57.1,9.78,14.3,271.0,2.0
2026.0,17,6181d3d67e4c61f1f30f577ee3d081d7,Rashod Bateman,BAL,WR,13.0,36.4,55.4,2.8,4.3,224.0,2.0
2026.0,17,9acbcc1eebdb023dfdfc437ec0590335,Isaiah Bond,CLE,WR,16.0,36.7,54.7,2.29,3.4,338.0,0.0
2026.0,17,0069b4d494831f026c30d1dea24e6cf0,Tyreek Hill,FA,WR,4.0,32.5,53.5,8.12,13.4,265.0,1.0
2026.0,17,eadd73251b0b61157f583fce6e65a37c,Joshua Palmer,BUF,WR,12.0,30.299999999999997,52.3,2.52,4.4,303.0,0.0
2026.0,17,4c5c1ba3395371db01c40d8dd320ac21,Brandin Cooks,FA,WR,15.0,27.9,51.9,1.86,3.5,279.0,0.0
2026.0,17,0bcc8a5b6d93bce2b411496f5042f6a0,Tim Patrick,FA,WR,16.0,36.7,51.7,2.29,3.2,187.0,3.0
2026.0,17,723552e8262c9ac378dffae760626769,Luke McCaffrey,WAS,WR,9.0,40.3,51.3,4.48,5.7,203.0,3.0
2026.0,17,a27fa1cbab62f72bdfee40bbe0a1dc51,Jahan Dotson,ATL,WR,17.0,32.2,50.2,1.89,3.0,262.0,1.0
2026.0,17,8523a52218ee8e9fc34771ca8312dd27,Dyami Brown,WAS,WR,15.0,29.700000000000003,49.7,1.98,3.3,227.0,1.0
2026.0,17,86a92b7107d793ac420cfba94d5fe27a,Kyle Williams,NE,WR,17.0,39.2,49.2,2.31,2.9,209.0,3.0
2026.0,17,f7922f9986acdb51c2842222aedd90d4,Jaylin Lane,WAS,WR,15.0,33.2,49.2,2.21,3.3,225.0,0.0
2026.0,17,41225f6f29136580cf55e2f7091a1f42,David Sills V,FA,WR,17.0,31.1,49.1,1.83,2.9,191.0,2.0
2026.0,17,cd025c2a7494a1dbf3d0460e83e68534,Jayden Reed,GB,WR,7.0,29.5,48.5,4.21,6.9,207.0,1.0
2026.0,17,53cdf90bcc8faadaf37e87cfb59c860e,Xavier Smith,LAR,WR,16.0,30.299999999999997,48.3,1.89,3.0,303.0,0.0
2026.0,17,f0b5544f193fbcd762e305ba14eb7794,Calvin Ridley,TEN,WR,7.0,30.299999999999997,47.3,4.33,6.8,303.0,0.0
