year,player_id,player_name,team,position,games_played,fpts,fpts_ppr,fpts_per_game,fpts_ppr_per_game,yds,td
2021.0,a6e14a8168ceaa8ef1ead5501baca549,Andrew DePaola,MIN,TE,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,b735b06cbf1db411da8d37ddb2b00198,Jake Hausmann,FA,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,cae9fed5bb00771d7ca4067e2c39de2d,Noah Togiai,FA,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,097f6aa917ec0332131e3bdc11c8a9d1,Clark Harris,FA,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,7bfc2a3b967ffebd649a44b8825a09ae,Colin Thompson,FA,TE,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,d1d2216e892d14717ea88c8d6f8975b6,Codey McElroy,FA,TE,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,0c0d30b551890e05c807e9cd5c51d7cc,Taysom Hill,FA,TE,12.0,-4.0,0.0,-0.33,0.0,52.0,0.0
2021.0,90b0448a238c0aafec816b14396aff8c,Matt Orzech,GB,TE,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,97fefeabb7358fa1c3158e45895945c9,Stephen Sullivan,FA,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,3b8c47115177d49da3429fa29234f3f7,Antonio Gandy-Golden,FA,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,b687e9c21ab6b28936f310d17dd035c8,Nick Ralston,FA,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,98205326fe6297dc154640ea064dca3f,N'Keal Harry,FA,TE,10.0,-12.0,0.0,-1.2,0.0,184.0,0.0
2021.0,266ca3a6074fc9eae0fede287942e545,Jody Fortson Jr.,FA,TE,4.0,-5.0,0.0,-1.25,0.0,47.0,2.0
2021.0,1a7f0b0eb30760a11b475326ffbb42ae,Andrew Beck,NYJ,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,498bdea07b4e6d5af2c0b58fb1a6ad53,Patrick Scales,FA,TE,5.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,9e555a7d270b76d753de9abff595b0b4,James Winchester,KC,TE,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.0,d1a3dbc9e6b23848ee7d758ba49be4e6,Travis Kelce,KC,TE,15.0,207.8,312.8,13.85,20.9,1416.0,11.0
2020.0,b3289448b4027f8a355c4248657795d7,Darren Waller,FA,TE,16.0,171.60000000000002,278.6,10.73,17.4,1196.0,9.0
2020.0,c8374379afa0ff9a21f9b72862889080,Robert Tonyan,FA,TE,16.0,124.6,176.6,7.79,11.0,586.0,11.0
2020.0,33bc83aa2463bbe3a1d4e3cd248dc0e0,Logan Thomas,FA,TE,16.0,104.6,176.6,6.54,11.0,670.0,6.0
2020.0,57e8757b3eb0c1ab862fea76188c1fff,T.J. Hockenson,MIN,TE,16.0,108.30000000000001,175.3,6.77,11.0,723.0,6.0
2020.0,9e1035be27b13b71d90fe1ca2b384347,Mark Andrews,BAL,TE,14.0,112.1,170.1,8.01,12.2,701.0,7.0
2020.0,13078133c466538c657c32696f0b326f,Mike Gesicki,CIN,TE,15.0,106.30000000000001,159.3,7.09,10.6,703.0,6.0
2020.0,268056eb7a0b7ed465d7688764408995,Noah Fant,NO,TE,15.0,87.30000000000001,149.3,5.82,10.0,673.0,3.0
2020.0,f160bc97a6cd56b713635d834b30e574,Rob Gronkowski,FA,TE,16.0,104.30000000000001,149.3,6.52,9.3,623.0,7.0
2020.0,cdbc55168584c289f2569d437f207491,Hayden Hurst,FA,TE,16.0,93.1,149.1,5.82,9.3,571.0,6.0
2020.0,025e84af528c42fbc8ce5915f65b78b6,Dalton Schultz,HOU,TE,16.0,83.5,146.5,5.22,9.2,615.0,4.0
2020.0,0c6caf30777de7d20ef46d52f3493131,Hunter Henry,NE,TE,14.0,85.30000000000001,145.3,6.09,10.4,613.0,4.0
2020.0,146fcb7bc20adb76382999aca98e3874,Jimmy Graham,FA,TE,16.0,93.6,143.6,5.85,9.0,456.0,8.0
2020.0,5a77e4a10ea642eaaf46a99583d3996f,Eric Ebron,FA,TE,15.0,85.80000000000001,141.8,5.72,9.5,558.0,5.0
2020.0,25a852007b3b00d3d1ddb2c408c1ba84,Evan Engram,DEN,TE,16.0,78.0,141.0,4.88,8.8,654.0,1.0
2020.0,47d716638c445e84811d7054847f8543,Jonnu Smith,FA,TE,15.0,99.19999999999999,140.2,6.61,9.3,448.0,8.0
2020.0,8e4e360f0f27f6b9e21c9ed6f73410ce,Tyler Higbee,LAR,TE,15.0,84.19999999999999,128.2,5.61,8.5,521.0,5.0
2020.0,0998b3dfce1b5122c77e84fba1f056b0,Jared Cook,FA,TE,15.0,90.4,127.4,6.03,8.5,504.0,7.0
2020.0,734e8a8c5ca074911074dce1c38fbc19,George Kittle,SF,TE,8.0,77.1,125.1,9.64,15.6,634.0,2.0
2020.0,5f0ba329b995c93b32f60de2da1e75b9,Dallas Goedert,PHI,TE,11.0,70.4,116.4,6.4,10.6,524.0,3.0
2020.0,ebaf8389710d4f51741511369c1eef9d,Austin Hooper,ATL,TE,13.0,67.5,113.5,5.19,8.7,435.0,4.0
2020.0,e510d3d2eb5baf8e62820ebf8cef2c40,Irv Smith Jr.,FA,TE,13.0,68.5,98.5,5.27,7.6,365.0,5.0
2020.0,bba8dd2697e64f46aa6b2589cdbbab44,Dan Arnold,FA,TE,16.0,65.8,96.8,4.11,6.1,438.0,4.0
2020.0,917e4bb2001edf91de7c1291fa27dcf0,Gerald Everett,FA,TE,16.0,51.900000000000006,92.9,3.24,5.8,417.0,1.0
2020.0,9b2ed795db393c9defc0c2fef5e7d3ef,Anthony Firkser,FA,TE,16.0,44.7,83.7,2.79,5.2,387.0,1.0
2020.0,880adb9c3795804aa9c373635868af3d,Jordan Akins,FA,TE,13.0,46.7,83.7,3.59,6.4,403.0,1.0
2020.0,39e6b8c55995c2777c65499dd0945089,Trey Burton,FA,TE,13.0,55.3,83.3,4.25,6.4,250.0,3.0
2020.0,d79412bd1b8ef9267a9f607834720e4b,Tyler Eifert,FA,TE,15.0,46.900000000000006,82.9,3.13,5.5,349.0,2.0
2020.0,e994fd37c5198269b14ebc19a52cce2a,Mo Alie-Cox,IND,TE,15.0,49.400000000000006,80.4,3.29,5.4,394.0,2.0
2020.0,37b0c8d6f7253224f1bd7aafb8f7f740,Drew Sample,CIN,TE,16.0,38.900000000000006,78.9,2.43,4.9,349.0,1.0
2020.0,08dfc03321b8773b719565f1cac4b9bb,Zach Ertz,FA,TE,11.0,41.5,77.5,3.77,7.0,335.0,1.0
2020.0,741bbb6801459d542e6e102029dc40fa,Darren Fells,FA,TE,16.0,55.2,76.2,3.45,4.8,312.0,4.0
2020.0,f3a59dd9c56d80eb764f245fab91d31d,Chris Herndon IV,FA,TE,16.0,42.7,73.7,2.67,4.6,287.0,3.0
2020.0,744abd0470ca72f08202f33a5b016ce1,Jordan Reed,FA,TE,10.0,47.099999999999994,73.1,4.71,7.3,231.0,4.0
2020.0,1ea27ae69e9b9bc5ef0091accaedc48a,Richard Rodgers,FA,TE,14.0,46.5,70.5,3.32,5.0,345.0,2.0
2020.0,fd6c16b845b18077edf653faa6d49e08,Cameron Brate,FA,TE,16.0,40.2,68.2,2.51,4.3,282.0,2.0
2020.0,8138311d61dbc9958841bbcc4848ef39,Dawson Knox,BUF,TE,12.0,42.8,66.8,3.57,5.6,288.0,3.0
2020.0,c8580b5ce7555842ef215cb071530bcc,Jacob Hollister,FA,TE,16.0,40.900000000000006,65.9,2.56,4.1,209.0,3.0
2020.0,ad7c57dcea73cc3047d1d722a2853bb7,Kyle Rudolph,FA,TE,12.0,37.400000000000006,65.4,3.12,5.5,334.0,1.0
2020.0,24f268a03199015c410ed2e18dd4a424,Jack Doyle,FA,TE,14.0,41.099999999999994,64.1,2.94,4.6,251.0,3.0
2020.0,528cfad8e9ad2966264ce6f8b7f2be03,Cole Kmet,CHI,TE,16.0,34.0,62.0,2.12,3.9,243.0,2.0
2020.0,418ec44c3ccfe41021337ae44b9be550,Harrison Bryant,FA,TE,15.0,37.8,61.8,2.52,4.1,238.0,3.0
2020.0,8efb171ac05d60d5f40b272d576307f0,Will Dissly,FA,TE,16.0,37.1,61.1,2.32,3.8,251.0,2.0
2020.0,b23e3273a01d9786f01f19d1715382cf,Durham Smythe,BAL,TE,15.0,32.8,58.8,2.19,3.9,208.0,2.0
2020.0,434fd9e34beba6508a6dbf405735863b,James O'Shaughnessy,FA,TE,15.0,26.200000000000003,54.2,1.75,3.6,262.0,0.0
2020.0,9718fecc7130204073b41d4efd3c5d4e,Greg Olsen,FA,TE,11.0,29.9,53.9,2.72,4.9,239.0,1.0
2020.0,8f19e094447c91c3335cc8dee3985407,David Njoku,FA,TE,13.0,33.3,52.3,2.56,4.0,213.0,2.0
2020.0,46321e1f1e037f5a8311a830633c95a3,Ross Dwelley,FA,TE,16.0,30.5,49.5,1.91,3.1,245.0,1.0
2020.0,fa95c3473277fcfcffc8c1371405eb1a,Adam Shaheen,FA,TE,16.0,33.0,45.0,2.06,2.8,150.0,3.0
